"ID"	"name"
"map01053"	"Biosynthesis of siderophore group nonribosomal peptides"
"map00590"	"Arachidonic acid metabolism"
"map00333"	"Prodigiosin biosynthesis"
"map00622"	"Xylene degradation"
"map00750"	"Vitamin B6 metabolism"
"map00621"	"Dioxin degradation"
"map01056"	"Biosynthesis of type II polyketide backbone"
"map00281"	"Geraniol degradation"
"map00473"	"D-Alanine metabolism"
"map00525"	"Acarbose and validamycin biosynthesis"
"map04976"	"Bile secretion"
"map01055"	"Biosynthesis of vancomycin group antibiotics"
"map00541"	"O-Antigen nucleotide sugar biosynthesis"
"map00984"	"Steroid degradation"
"map05165"	"Human papillomavirus infection"
"map05132"	"Salmonella infection"
"map05012"	"Parkinson disease"
"map04217"	"Necroptosis"
"map00471"	"D-Glutamine and D-glutamate metabolism"
"map00511"	"Other glycan degradation"
"map05135"	"Yersinia infection"
"map00903"	"Limonene and pinene degradation"
"map00930"	"Caprolactam degradation"
"map00624"	"Polycyclic aromatic hydrocarbon degradation"
"map05205"	"Proteoglycans in cancer"
"map00945"	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
"map05016"	"Huntington disease"
"map05022"	"Pathways of neurodegeneration - multiple diseases"
"map04918"	"Thyroid hormone synthesis"
"map05014"	"Amyotrophic lateral sclerosis"
"map04146"	"Peroxisome"
"map00960"	"Tropane, piperidine and pyridine alkaloid biosynthesis"
"map00524"	"Neomycin, kanamycin and gentamicin biosynthesis"
"map00998"	"Biosynthesis of various secondary metabolites - part 2"
"map01523"	"Antifolate resistance"
"map04931"	"Insulin resistance"
"map05130"	"Pathogenic Escherichia coli infection"
"map05131"	"Shigellosis"
"map03050"	"Proteasome"
"map04212"	"Longevity regulating pathway - worm"
"map04972"	"Pancreatic secretion"
"map00660"	"C5-Branched dibasic acid metabolism"
"map03320"	"PPAR signaling pathway"
"map04978"	"Mineral absorption"
"map01524"	"Platinum drug resistance"
"map05340"	"Primary immunodeficiency"
"map05200"	"Pathways in cancer"
"map05204"	"Chemical carcinogenesis"
"map05225"	"Hepatocellular carcinoma"
"map00261"	"Monobactam biosynthesis"
"map00513"	"Various types of N-glycan biosynthesis"
"map00604"	"Glycosphingolipid biosynthesis - ganglio series"
"map00531"	"Glycosaminoglycan degradation"
"map00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"
"map04142"	"Lysosome"
"map04973"	"Carbohydrate digestion and absorption"
"map00440"	"Phosphonate and phosphinate metabolism"
"map04727"	"GABAergic synapse"
"map00572"	"Arabinogalactan biosynthesis - Mycobacterium"
"map05010"	"Alzheimer disease"
"map04940"	"Type I diabetes mellitus"
"map04214"	"Apoptosis - fly"
"map04919"	"Thyroid hormone signaling pathway"
"map04970"	"Salivary secretion"
"map00633"	"Nitrotoluene degradation"
"map04724"	"Glutamatergic synapse"
"map04216"	"Ferroptosis"
"map04920"	"Adipocytokine signaling pathway"
"map00311"	"Penicillin and cephalosporin biosynthesis"
"map04013"	"MAPK signaling pathway - fly"
"map04068"	"FoxO signaling pathway"
"map04211"	"Longevity regulating pathway"
"map04213"	"Longevity regulating pathway - multiple species"
"map00522"	"Biosynthesis of 12-, 14- and 16-membered macrolides"
"map01052"	"Type I polyketide structures"
"map00331"	"Clavulanic acid biosynthesis"
"map04016"	"MAPK signaling pathway - plant"
"map04930"	"Type II diabetes mellitus"
"map00571"	"Lipoarabinomannan (LAM) biosynthesis"
"map03008"	"Ribosome biogenesis in eukaryotes"
"map01054"	"Nonribosomal peptide structures"
"map00940"	"Phenylpropanoid biosynthesis"
"map00404"	"Staurosporine biosynthesis"
"map00941"	"Flavonoid biosynthesis"
